x_m,target_t,realised_t
-0.1,9.928752075060435e-12,-1.1970442056339954e-06
-0.09916666666666667,1.2827159648500492e-11,-1.1568368308350153e-06
-0.09833333333333334,1.653619138315605e-11,-1.1125886221941996e-06
-0.0975,2.1272064253509145e-11,-1.0642450117659518e-06
-0.09666666666666668,2.7305676361754308e-11,-1.0117696480120277e-06
-0.09583333333333334,3.497561800416247e-11,-9.551462652449047e-07
-0.095,4.470406457566287e-11,-8.94380563587758e-07
-0.09416666666666668,5.70161361344723e-11,-8.295020800199441e-07
-0.09333333333333334,7.25634144095316e-11,-7.605660287556742e-07
-0.0925,9.215243031355749e-11,-6.876550868959361e-07
-0.09166666666666667,1.1677907551158401e-10,-6.108810990400681e-07
-0.09083333333333334,1.4767005226040416e-10,-5.30386672395957e-07
-0.09000000000000001,1.8633265860393257e-10,-4.463466319280598e-07
-0.08916666666666667,2.346144131240294e-10,-3.5896930328464887e-07
-0.08833333333333333,2.9477425681159444e-10,-2.684975897102927e-07
-0.08750000000000001,3.6956733114749177e-10,-1.7520980792562313e-07
-0.08666666666666667,4.6234562290179027e-10,-7.942024710412255e-08
-0.08583333333333334,5.771770889426691e-10,1.8520585344158752e-08
-0.085,7.189862295898288e-10,1.1822606741364493e-07
-0.08416666666666667,8.937194673502042e-10,2.192739512051872e-07
-0.08333333333333334,1.1085391091948194e-09,3.212072711515555e-07
-0.0825,1.3720501240329306e-09,4.235357044336098e-07
-0.08166666666666667,1.6945644508933403e-09,5.257374138133998e-07
-0.08083333333333334,2.088408064542734e-09,6.272613999902445e-07
-0.08,2.5682765594879687e-09,7.275303867871673e-07
-0.07916666666666666,3.151645564559254e-09,8.259442579905152e-07
-0.07833333333333334,3.859242860769504e-09,9.218840595098838e-07
-0.0775,4.715589635060302e-09,1.0147165747276066e-06
-0.07666666666666667,5.7496188497800836e-09,1.1037994745007937e-06
-0.07583333333333334,6.995379227724171e-09,1.1884870363243396e-06
-0.07500000000000001,8.49283382807049e-09,1.268136419717459e-06
-0.07416666666666667,1.0288762599534131e-08,1.342114477044105e-06
-0.07333333333333333,1.2437778620586814e-08,1.4098050708048516e-06
-0.07250000000000001,1.500346794674405e-08,1.470616860039725e-06
-0.07166666666666667,1.8059663052873364e-08,1.5239915099701584e-06
-0.07083333333333333,2.1691859752584163e-08,1.5694122704913217e-06
-0.07,2.5998787162792657e-08,1.6064128607235837e-06
-0.06916666666666667,3.109413972303752e-08,1.6345865886597064e-06
-0.06833333333333333,3.7108479437817786e-08,1.6535956271274036e-06
-0.0675,4.419131534675242e-08,1.6631803599364917e-06
-0.06666666666666668,5.2513365701981456e-08,1.663168705319766e-06
-0.06583333333333333,6.22690064058031e-08,1.6534853177073933e-06
-0.065,7.367890689665126e-08,1.6341605636132569e-06
-0.06416666666666668,8.699285183375999e-08,1.6053391630397038e-06
-0.06333333333333334,1.0249274359029482e-07,1.5672883844344422e-06
-0.0625,1.204957766975467e-07,1.5204056789162956e-06
-0.06166666666666667,1.4135777097296208e-07,1.4652256383234944e-06
-0.060833333333333336,1.654766451060276e-07,1.402426161667333e-06
-0.060000000000000005,1.9329600697364003e-07,1.3328337158644632e-06
-0.05916666666666667,2.2530883092945986e-07,1.2574275792069405e-06
-0.058333333333333334,2.6206118579415624e-07,1.1773429599462593e-06
-0.0575,3.0415597031705935e-07,1.0938728876330562e-06
-0.05666666666666667,3.5225660555509523e-07,1.008468781486476e-06
-0.05583333333333334,4.070906260128413e-07,9.227396080532447e-07
-0.055,4.6945310362050245e-07,8.38449549756418e-07
-0.05416666666666667,5.402098308289246e-07,7.575141165889511e-07
-0.05333333333333334,6.203001814291419e-07,6.819946451427138e-07
-0.052500000000000005,7.107395603368487e-07,6.140911423269902e-07
-0.051666666666666666,8.126213467189132e-07,5.561334454380201e-07
-0.050833333333333335,9.271182286976543e-07,5.105706856187625e-07
